Main Topic,Subtopic,Description,Code Snippets
Linked List,Operations on the Circular Linked list:,We can do some operations on the circular linked list similar to the singly and doubly linked list which are: Insertion Insertion at the empty list Insertion at the beginning Insertion at the end  Insertion at the given position Deletion Delete the first node Delete the last node Delete the node from any position Searching Note:  We will be using the circular singly linked list to represent the working of the circular linked list.,
Linked List,Insertion in the circular linked list:,"Insertion is a fundamental operation in linked lists that involves adding a new node to the list. The only extra step is connecting the last node to the first one. In the circular linked list mentioned below, we can insert nodes in four ways:","class Node:
    def __init__(self, value):
        self.data = value
        self.next = self  # Point to itself

def insertInEmptyList(last, data):
    if last is not None:
        return last
    
    # Create a new node
    new_node = Node(data)
    
    # Update last to point to the new node
    last = new_node
    return last

def printList(last):
    if last is None:
        return
    
    # Start from the head node
    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

if __name__ == ""__main__"":
    last = None

    # Insert a node into the empty list
    last = insertInEmptyList(last, 1)

    # Print the list
    print(""List after insertion: "", end="""")
    printList(last)
class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

# Function to insert a node at the beginning of the circular linked list
def insert_at_beginning(last, value):
    new_node = Node(value)

    # If the list is empty, make the new node point to itself and set it as last
    if last is None:
        new_node.next = new_node
        return new_node

    # Insert the new node at the beginning
    new_node.next = last.next
    last.next = new_node

    return last

# Function to print the circular linked list
def print_list(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

# Create circular linked list: 2, 3, 4
first = Node(2)
first.next = Node(3)
first.next.next = Node(4)
last = first.next.next
last.next = first

print(""Original list: "", end="""")
print_list(last)

# Insert 5 at the beginning
last = insert_at_beginning(last, 5)

print(""List after inserting 5 at the beginning: "", end="""")
print_list(last)
class Node:
    def __init__(self, value):
        self.data = value
        self.next = None

# Function to insert a node at the end of a circular linked list


def insert_end(tail, value):
    new_node = Node(value)
    if tail is None:
        # If the list is empty, initialize
        # it with the new node
        tail = new_node
        new_node.next = new_node
    else:
        # Insert new node after the current tail
        # and update the tail pointer
        new_node.next = tail.next
        tail.next = new_node
        tail = new_node
    return tail

# Function to print the circular linked list


def print_list(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()


if __name__ == ""__main__"":
    # Create circular linked list: 2, 3, 4
    first = Node(2)
    first.next = Node(3)
    first.next.next = Node(4)

    last = first.next.next
    last.next = first

    print(""Original list: "", end="""")
    print_list(last)

    # Insert elements at the end of the circular linked list
    last = insert_end(last, 5)
    last = insert_end(last, 6)

    print(""List after inserting 5 and 6: "", end="""")
    print_list(last)
class Node:
    def __init__(self, value):
        self.data = value
        self.next = None

# Function to insert a node at a specific position in a circular linked list
def insertAtPosition(last, data, pos):
    if last is None:
        # If the list is empty
        if pos != 1:
            print(""Invalid position!"")
            return last
        # Create a new node and make it point to itself
        new_node = Node(data)
        last = new_node
        last.next = last
        return last

    # Create a new node with the given data
    new_node = Node(data)

    # curr will point to head initially
    curr = last.next

    if pos == 1:
        # Insert at the beginning
        new_node.next = curr
        last.next = new_node
        return last

    # Traverse the list to find the insertion point
    for i in range(1, pos - 1):
        curr = curr.next

        # If position is out of bounds
        if curr == last.next:
            print(""Invalid position!"")
            return last

    # Insert the new node at the desired position
    new_node.next = curr.next
    curr.next = new_node

    # Update last if the new node is inserted at the end
    if curr == last:
        last = new_node

    return last

# Function to print the circular linked list
def print_list(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

if __name__ == ""__main__"":
    # Create circular linked list: 2, 3, 4
    first = Node(2)
    first.next = Node(3)
    first.next.next = Node(4)

    last = first.next.next
    last.next = first

    print(""Original list: "", end="""")
    print_list(last)

    # Insert elements at specific positions
    data = 5
    pos = 2
    last = insertAtPosition(last, data, pos)
    print(""List after insertions: "", end="""")
    print_list(last)"
Linked List,Deletion from a Circular Linked List,Deletion involves removing a node from the linked list. The main difference is that we need to ensure the list remains circular after the deletion. We can delete a node in a circular linked list in three ways:,"class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

def deleteFirstNode(last):
    if last is None:
        # If the list is empty
        print(""List is empty"")
        return None

    head = last.next

    if head == last:
        # If there is only one node in the list
        last = None
    else:
        # More than one node in the list
        last.next = head.next

    return last

def print_list(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

# Create circular linked list: 2, 3, 4
first = Node(2)
first.next = Node(3)
first.next.next = Node(4)

last = first.next.next
last.next = first

print(""Original list: "", end="""")
print_list(last)

# Delete the first node
last = deleteFirstNode(last)

print(""List after deleting first node: "", end="""")
print_list(last)
class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

def deleteSpecificNode(last, key):
    if last is None:
        # If the list is empty
        print(""List is empty, nothing to delete."")
        return None

    curr = last.next
    prev = last

    # If the node to be deleted is the only node in the list
    if curr == last and curr.data == key:
        last = None
        return last

    # If the node to be deleted is the first node
    if curr.data == key:
        last.next = curr.next
        return last

    # Traverse the list to find the node to be deleted
    while curr != last and curr.data != key:
        prev = curr
        curr = curr.next

    # If the node to be deleted is found
    if curr.data == key:
        prev.next = curr.next
        if curr == last:
            last = prev
    else:
        # If the node to be deleted is not found
        print(f""Node with data {key} not found."")

    return last

def printList(last):
    if last is None:
        print(""List is Empty"")
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

# Create circular linked list: 2, 3, 4
first = Node(2)
first.next = Node(3)
first.next.next = Node(4)

last = first.next.next
last.next = first

print(""Original list: "", end="""")
printList(last)

# Delete a specific node
key = 3
last = deleteSpecificNode(last, key)

print(f""List after deleting node {key}: "", end="""")
printList(last)
class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

def deleteLastNode(last):
    if last is None:
        # If the list is empty
        print(""List is empty, nothing to delete."")
        return None

    head = last.next

    # If there is only one node in the list
    if head == last:
        last = None
        return last

    # Traverse the list to find the second last node
    curr = head
    while curr.next != last:
        curr = curr.next

    # Update the second last node's next pointer to point to head
    curr.next = head
    last = curr

    return last

def printList(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

# Create circular linked list: 2, 3, 4
first = Node(2)
first.next = Node(3)
first.next.next = Node(4)

last = first.next.next
last.next = first

print(""Original list: "", end="""")
printList(last)

# Delete the last node
last = deleteLastNode(last)

print(""List after deleting last node: "", end="""")
printList(last)"
Linked List,Searching in Circular Linked list,"Searching in a circular linked list is similar to searching in a regular linked list. We start at a given node and traverse the list until you either find the target value or return to the starting node. Since the list is circular, make sure to keep track of where you started to avoid an infinite loop.","class Node:
    def __init__(self, value):
        self.data = value
        self.next = None

def search(last, key):
    if last is None:
        # If the list is empty
        return False

    head = last.next
    curr = head

    # Traverse the list to find the key
    while curr != last:
        if curr.data == key:
            # Key found
            return True
        curr = curr.next

    # Check the last node
    if last.data == key:
        # Key found
        return True
    # Key not found
    return False

def print_list(last):
    if last is None:
        return

    head = last.next
    while True:
        print(head.data, end="" "")
        head = head.next
        if head == last.next:
            break
    print()

if __name__ == ""__main__"":
    # Create circular linked list: 2, 3, 4
    first = Node(2)
    first.next = Node(3)
    first.next.next = Node(4)

    last = first.next.next
    last.next = first

    print(""Original list:"", end="" "")
    print_list(last)

    # Search for a specific value
    key = 3
    found = search(last, key)
    if found:
        print(f""Value {key} found in the list."")
    else:
        print(f""Value {key} not found in the list."")"
Linked List,Advantages of Circular Linked Lists,"In circular linked list, the last node points to the first node. There are no null references, making traversal easier and reducing the chances of encountering null pointer exceptions. We can traverse the list from any node and return to it without needing to restart from the head, which is useful in applications requiring a circular iteration. Circular linked lists can easily implement circular queues, where the last element connects back to the first, allowing for efficient resource management. In a circular linked list, each node has a reference to the next node in the sequence. Although it doesn’t have a direct reference to the previous node like a doubly linked list, we can still find the previous node by traversing the list.",
Linked List,Disadvantages of Circular Linked Lists,"Circular linked lists are more complex to implement than singly linked lists. Traversing a circular linked list without a clear stopping condition can lead to infinite loops if not handled carefully. Debugging can be more challenging due to the circular nature, as traditional methods of traversing linked lists may not apply.",
Linked List,Applications of Circular Linked Lists,"It is used for time-sharing among different users, typically through a  Round-Robin scheduling mechanism. In multiplayer games, a circular linked list can be used to switch between players. After the last player’s turn, the list cycles back to the first player. Circular linked lists are often used in buffering applications, such as streaming data, where data is continuously produced and consumed. In media players, circular linked lists can manage playlists, this allowing users to loop through songs continuously. Browsers use circular linked lists to manage the cache. This allows you to navigate back through your browsing history efficiently by pressing the BACK button. Related Article: Circular Linked List meaning in DSA Singly Linked List Tutorial Doubly Linked List Tutorial",
Stack,Representation of Stack Data Structure:,Stack follows LIFO (Last In First Out) Principle so the element which is pushed last is popped first.,
Stack,Types of Stack:,"Fixed Size Stack   : As the name suggests, a fixed size stack has a fixed size and cannot grow or shrink dynamically. If the stack is full and an attempt is made to add an element to it, an overflow error occurs. If the stack is empty and an attempt is made to remove an element from it, an underflow error occurs.  
 Dynamic Size Stack   : A dynamic size stack can grow or shrink dynamically. When the stack is full, it automatically increases its size to accommodate the new element, and when the stack is empty, it decreases its size. This type of stack is implemented using a linked list, as it allows for easy resizing of the stack.",
Stack,Basic Operations on Stack:,"In order to make manipulations in a stack, there are certain operations provided to us. push()   to insert an element into the stack  
  pop()   to remove an element from the stack  
  top()   Returns the top element of the stack.  
  isEmpty()   returns true if stack is empty else false.  
  isFull()   returns true if the stack is full else false. To implement stack, we need to maintain reference to the top item. Adds an item to the stack. If the stack is full, then it is said to be an   Overflow condition. Algorithm for Push Operation: Before pushing the element to the stack, we check if the stack is   full   .  
 If the stack is full   (top == capacity-1)   , then   Stack Overflows   and we cannot insert the element to the stack.  
 Otherwise, we increment the value of top by 1   (top = top + 1)   and the new value is inserted at   top position   .  
 The elements can be pushed into the stack till we reach the   capacity   of the stack. Removes an item from the stack. The items are popped in the reversed order in which they are pushed. If the stack is empty, then it is said to be an   Underflow  condition. Algorithm for Pop Operation: Before popping the element from the stack, we check if the stack is   empty   .  
 If the stack is empty (top == -1), then   Stack Underflows   and we cannot remove any element from the stack.  
 Otherwise, we store the value at top, decrement the value of top by 1   (top = top – 1)   and return the stored top value. Returns the top element of the stack. Algorithm for Top Operation: Before returning the top element from the stack, we check if the stack is empty.  
 If the stack is empty (top == -1), we simply print “Stack is empty”.  
 Otherwise, we return the element stored at   index = top   . Returns true if the stack is empty, else false. Algorithm for isEmpty Operation : Check for the value of   top   in stack.  
 If   (top == -1) , then the stack is   empty   so return   true   .  
 Otherwise, the stack is not empty so return   false   . Returns true if the stack is full, else false. Algorithm for isFull Operation: Check for the value of   top   in stack.  
 If   (top == capacity-1),   then the stack is   full   so return   true .  
 Otherwise, the stack is not full so return   false .",
Stack,Implementation of Stack,"The basic operations that can be performed on a stack include push, pop, and peek. There are two ways to implement a stack – Implementation of Stack using Array 
 Implementation of Stack using Linked List",
Stack,Complexity Analysis of Operations on Stack Data Structure:,"Next Articles: Applications, Advantages and Disadvantages of Stack  
 Implement a stack using singly linked list  
 Basic Operations in Stack Data Structure with Implementations  
 Top 50 Problems on Stack Data Structure asked in SDE Interviews  
 Applications, Advantages and Disadvantages of Stack  
 Stack for Competitive Programming",
Stack,Implement Stack using Array:,Step-by-step approach:,
Stack,Implement Stack Operations using Array:,"Here are the following operations of implement stack using array: Adds an item to the stack. If the stack is full, then it is said to be an  Overflow condition. Algorithm for Push Operation: Removes an item from the stack. The items are popped in the reversed order in which they are pushed. If the stack is empty, then it is said to be an  Underflow condition. Algorithm for Pop Operation:  Returns the top element of the stack. Algorithm for Top Operation: Returns true if the stack is empty, else false. Algorithm for isEmpty Operation  : Returns true if the stack is full, else false. Algorithm for isFull Operation: Below is the implementation of the above approach: Time Complexity : push : O(1) pop : O(1) peek : O(1) is_empty : O(1) is_full: O(1) Auxiliary Space : O(n), where n is the number of items in the stack.","# Python program for implementation of stack 

# import maxsize from sys module 
# Used to return -infinite when stack is empty 
from sys import maxsize 

# Function to create a stack. It initializes size of stack as 0 
def createStack(): 
    stack = [] 
    return stack 

# Stack is empty when stack size is 0 
def isEmpty(stack): 
    return len(stack) == 0

# Function to add an item to stack. It increases size by 1 
def push(stack, item): 
    stack.append(item) 
    print(item + "" pushed to stack "") 
    
# Function to remove an item from stack. It decreases size by 1 
def pop(stack): 
    if (isEmpty(stack)): 
        return str(-maxsize -1) # return minus infinite 
    
    return stack.pop() 

# Function to return the top from stack without removing it 
def peek(stack): 
    if (isEmpty(stack)): 
        return str(-maxsize -1) # return minus infinite 
    return stack[len(stack) - 1] 

# Driver program to test above functions     
stack = createStack() 
push(stack, str(10)) 
push(stack, str(20)) 
push(stack, str(30)) 
print(pop(stack) + "" popped from stack"")"
Stack,Advantages of Array Implementation:,Easy to implement. Memory is saved as pointers are not involved.,
Stack,Disadvantages of Array Implementation:,"It is not dynamic i.e., it doesn’t grow and shrink depending on needs at runtime. [But in case of dynamic sized arrays like vector in C++, list in Python, ArrayList in Java, stacks can grow and shrink with array implementation as well]. The total size of the stack must be defined beforehand.",
Stack,Stack Operations:,push() :  Insert a new element into the stack i.e just insert a new element at the beginning of the linked list. pop() :  Return the top element of the Stack i.e simply delete the first element from the linked list. peek() :  Return the top element. display():  Print all elements in Stack.,
Stack,Display Operation:,"Below is the implementation of the above operations Time Complexity:  O(1), for all push(), pop(), and peek(), as we are not performing any kind of traversal over the list. We perform all the operations through the current pointer only. Auxiliary Space:  O(N), where N is the size of the stack In this implementation, we define a Node class that represents a node in the linked list, and a Stack class that uses this node class to implement the stack. The head attribute of the Stack class points to the top of the stack (i.e., the first node in the linked list). To push an item onto the stack, we create a new node with the given item and set its next pointer to the current head of the stack. We then set the head of the stack to the new node, effectively making it the new top of the stack. To pop an item from the stack, we simply remove the first node from the linked list by setting the head of the stack to the next node in the list (i.e., the node pointed to by the next pointer of the current head). We return the data stored in the original head node, which is the item that was removed from the top of the stack. Dynamic memory allocation : The size of the stack can be increased or decreased dynamically by adding or removing nodes from the linked list, without the need to allocate a fixed amount of memory for the stack upfront. Efficient memory usage:  Since nodes in a singly linked list only have a next pointer and not a prev pointer, they use less memory than nodes in a doubly linked list. Easy implementation : Implementing a stack using a singly linked list is straightforward and can be done using just a few lines of code. Versatile : Singly linked lists can be used to implement other data structures such as queues, linked lists, and trees. In summary, implementing a stack using a singly linked list is a simple and efficient way to create a dynamic stack data structure in Python. Stacks are used in various real-world scenarios where a last-in, first-out (LIFO) data structure is required. Here are some examples of real-time applications of stacks: Function call stack : When a function is called in a program, the return address and all the function parameters are pushed onto the function call stack. The stack allows the function to execute and return to the caller function in the reverse order in which they were called. Undo/Redo operations:  In many applications, such as text editors, image editors, or web browsers, the undo and redo functionalities are implemented using a stack. Every time an action is performed, it is pushed onto the stack. When the user wants to undo the last action, the top element of the stack is popped and the action is reversed. Browser history:  Web browsers use stacks to keep track of the pages visited by the user. Every time a new page is visited, its URL is pushed onto the stack. When the user clicks the “Back” button, the last visited URL is popped from the stack and the user is directed to the previous page. Expression evaluation : Stacks are used in compilers and interpreters to evaluate expressions. When an expression is parsed, it is converted into postfix notation and pushed onto a stack. The postfix expression is then evaluated using the stack. Call stack in recursion:  When a recursive function is called, its call is pushed onto the stack. The function executes and calls itself, and each subsequent call is pushed onto the stack. When the recursion ends, the stack is popped, and the program returns to the previous function call. In summary, stacks are widely used in many applications where LIFO functionality is required, such as function calls, undo/redo operations, browser history, expression evaluation, and recursive function calls.","# Java program to implement a stack using singly linked
# list

# Class representing a node in the linked list
class Node:
    def __init__(self, new_data):
        self.data = new_data
        self.next = None

# Class to implement stack using a singly linked list
class Stack:
    def __init__(self):

        # head of the linked list
        self.head = None

    # Function to check if the stack is empty
    def is_empty(self):

        # If head is None, the stack is empty
        return self.head is None

    # Function to push an element onto the stack
    def push(self, new_data):

        # Create a new node with given data
        new_node = Node(new_data)

        # Check if memory allocation for the new node failed
        if not new_node:
            print(""\nStack Overflow"")
            return

        # Link the new node to the current top node
        new_node.next = self.head

        # Update the top to the new node
        self.head = new_node

    # Function to remove the top element from the stack
    def pop(self):

        # Check for stack underflow
        if self.is_empty():
            print(""\nStack Underflow"")
        else:

            # Assign the current top to a temporary variable
            temp = self.head

            # Update the top to the next node
            self.head = self.head.next

            # Deallocate the memory of the old top node
            del temp

    # Function to return the top element of the stack
    def peek(self):

        # If stack is not empty, return the top element
        if not self.is_empty():
            return self.head.data
        else:
            print(""\nStack is empty"")
            return float('-inf')


# Creating a stack
st = Stack()

# Push elements onto the stack
st.push(11)
st.push(22)
st.push(33)
st.push(44)

# Print top element of the stack
print(""Top element is"", st.peek())

# removing two elemements from the top
print(""Removing two elements..."");
st.pop()
st.pop()

# Print top element of the stack
print(""Top element is"", st.peek())"
Insertion Sort Algorithm,Insertion Sort Algorithm,"Insertion sort is a simple sorting algorithm that works by iteratively inserting each element of an unsorted list into its correct position in a sorted portion of the list. It is like sorting playing cards in your hands. You split the cards into two groups: the sorted cards and the unsorted cards. Then, you pick a card from the unsorted group and put it in the right place in the sorted group.

We start with second element of the array as first element in the array is assumed to be sorted.
Compare second element with the first element and check if the second element is smaller then swap them.
Move to the third element and compare it with the first two elements and put at its correct position
Repeat until the entire array is sorted.
","# Python program for implementation of Insertion Sort

# Function to sort array using insertion sort
def insertionSort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1

        # Move elements of arr[0..i-1], that are
        # greater than key, to one position ahead
        # of their current position
        while j >= 0 and key < arr[j]:
            arr[j + 1] = arr[j]
            j -= 1
        arr[j + 1] = key

# A utility function to print array of size n
def printArray(arr):
    for i in range(len(arr)):
        print(arr[i], end="" "")
    print()

# Driver method
if __name__ == ""__main__"":
    arr = [12, 11, 13, 5, 6]
    insertionSort(arr)
    printArray(arr)"
Insertion Sort Algorithm,Complexity Analysis of Insertion Sort  :,"Best case:  O(n) , If the list is already sorted, where n is the number of elements in the list.   Average case:  O(n 2 ) , If the list is randomly ordered   Worst case:  O(n 2 ) , If the list is in reverse order Auxiliary Space:   O(1), Insertion sort requires   O(1)   additional space, making it a space-efficient sorting algorithm. Please refer  Complexity Analysis of Insertion Sort  for details.",
Insertion Sort Algorithm,Advantages  of Insertion Sort:,"Simple and easy to implement.  Stable  sorting algorithm.   Efficient for small lists and nearly sorted lists.   Space-efficient as it is an in-place algorithm.  Adoptive. the  number of inversions  is directly proportional to number of swaps. For example, no swapping happens for a sorted array and it takes O(n) time only.",
Insertion Sort Algorithm,Disadvantages  of Insertion Sort:,"Inefficient for large lists.   Not as efficient as other sorting algorithms (e.g., merge sort, quick sort) for most cases.",
Insertion Sort Algorithm,Applications  of Insertion Sort:,"Insertion sort is commonly used in situations where: The list is small or nearly sorted.  Simplicity and stability are important.  Used as a subroutine in  Bucket Sort Can be useful when array is already almost sorted (very few  inversions ) Since Insertion sort is suitable for small sized arrays, it is used in  Hybrid Sorting algorithms  along with other efficient algorithms like Quick Sort and Merge Sort.  When the subarray size becomes small, we switch to insertion sort in these recursive algorithms. For example  IntroSort  and  TimSort  use insertions sort.",
Merge Sort,Merge Sort,"Merge sort is a sorting algorithm that follows the divide-and-conquer approach. It works by recursively dividing the input array into smaller subarrays and sorting those subarrays then merging them back together to obtain the sorted array.

In simple terms, we can say that the process of merge sort is to divide the array into two halves, sort each half, and then merge the sorted halves back together. This process is repeated until the entire array is sorted.",
Merge Sort,How does Merge Sort work?,"Merge sort is a popular sorting algorithm known for its efficiency and stability. It follows the divide-and-conquer approach to sort a given array of elements.
Here’s a step-by-step explanation of how merge sort works:

Divide:  Divide the list or array recursively into two halves until it can no more be divided. 
Conquer:  Each subarray is sorted individually using the merge sort algorithm. 
Merge:  The sorted subarrays are merged back together in sorted order. The process continues until all elements from both subarrays have been merged. ","def merge(arr, left, mid, right):
    n1 = mid - left + 1
    n2 = right - mid

    # Create temp arrays
    L = [0] * n1
    R = [0] * n2

    # Copy data to temp arrays L[] and R[]
    for i in range(n1):
        L[i] = arr[left + i]
    for j in range(n2):
        R[j] = arr[mid + 1 + j]

    i = 0  # Initial index of first subarray
    j = 0  # Initial index of second subarray
    k = left  # Initial index of merged subarray

    # Merge the temp arrays back
    # into arr[left..right]
    while i < n1 and j < n2:
        if L[i] <= R[j]:
            arr[k] = L[i]
            i += 1
        else:
            arr[k] = R[j]
            j += 1
        k += 1

    # Copy the remaining elements of L[],
    # if there are any
    while i < n1:
        arr[k] = L[i]
        i += 1
        k += 1

    # Copy the remaining elements of R[], 
    # if there are any
    while j < n2:
        arr[k] = R[j]
        j += 1
        k += 1

def merge_sort(arr, left, right):
    if left < right:
        mid = (left + right) // 2

        merge_sort(arr, left, mid)
        merge_sort(arr, mid + 1, right)
        merge(arr, left, mid, right)

def print_list(arr):
    for i in arr:
        print(i, end="" "")
    print()

# Driver code
if __name__ == ""__main__"":
    arr = [12, 11, 13, 5, 6, 7]
    print(""Given array is"")
    print_list(arr)

    merge_sort(arr, 0, len(arr) - 1)

    print(""\nSorted array is"")
    print_list(arr)"
Merge Sort,Complexity Analysis of Merge Sort,"Time Complexity:
Best Case: O(n log n), When the array is already sorted or nearly sorted.
Average Case: O(n log n), When the array is randomly ordered.
Worst Case: O(n log n), When the array is sorted in reverse order.
Auxiliary Space: O(n), Additional space is required for the temporary array used during merging.",
Merge Sort,Applications of Merge Sort,"Sorting large datasets
External sorting (when the dataset is too large to fit in memory)
Inversion counting
Merge Sort and its variations are used in library methods of programming languages.
Its variation TimSort is used in Python, Java Android and Swift. The main reason why it is preferred to sort non-primitive types is stability which is not there in QuickSort.
Arrays.sort in Java uses QuickSort while Collections.sort uses MergeSort.
It is a preferred algorithm for sorting Linked lists.
It can be easily parallelized as we can independently sort subarrays and then merge.
The merge function of merge sort to efficiently solve the problems like union and intersection of two sorted arrays.",
Merge Sort,Advantages and Disadvantages of Merge Sort,"Advantages

Stability : Merge sort is a stable sorting algorithm, which means it maintains the relative order of equal elements in the input array.
Guaranteed worst-case performance: Merge sort has a worst-case time complexity of O(N logN) , which means it performs well even on large datasets.
Simple to implement: The divide-and-conquer approach is straightforward.
Naturally Parallel : We independently merge subarrays that makes it suitable for parallel processing.
Disadvantages

Space complexity: Merge sort requires additional memory to store the merged sub-arrays during the sorting process.
Not in-place: Merge sort is not an in-place sorting algorithm, which means it requires additional memory to store the sorted data. This can be a disadvantage in applications where memory usage is a concern.
Merge Sort is Slower than QuickSort in general as QuickSort is more cache friendly because it works in-place.",
QuickSort,How does QuickSort Algorithm work?,"QuickSort works on the principle of  divide and conquer , breaking down the problem into smaller sub-problems. There are mainly three steps in the algorithm: Here’s a basic overview of how the QuickSort algorithm works. There are many different choices for picking pivots. Always pick the first (or last) element as a pivot . The below implementation picks the last element as pivot. The problem with this approach is it ends up in the worst case when array is already sorted.  Pick a random element as a pivot . This is a preferred approach because it does not have a pattern for which the worst case happens. Pick the median element is pivot. This is an ideal approach in terms of time complexity as  we can find median in linear time  and the partition function will always divide the input array into two halves. But it takes more time on average as median finding has high constants. The key process in  quickSort  is a  partition().  There are three common algorithms to partition. All these algorithms have O(n) time complexity.",
QuickSort,Working of Partition Algorithm with Illustration,Let us understand the working of partition algorithm with the help of the following example:,
QuickSort,Illustration of QuickSort Algorithm,"In the previous step, we looked at how the  partitioning  process rearranges the array based on the chosen  pivot . Next, we apply the same method recursively to the smaller sub-arrays on the  left  and  right  of the pivot. Each time, we select new pivots and partition the arrays again. This process continues until only one element is left, which is always sorted. Once every element is in its correct position, the entire array is sorted. Below image illustrates, how the recursive method calls for the smaller sub-arrays on the  left  and  right  of the  pivot : Quick Sort   is a crucial algorithm in the industry, but there are other sorting algorithms that may be more optimal in different cases.","# Partition function
def partition(arr, low, high):
    
    # Choose the pivot
    pivot = arr[high]
    
    # Index of smaller element and indicates 
    # the right position of pivot found so far
    i = low - 1
    
    # Traverse arr[low..high] and move all smaller
    # elements to the left side. Elements from low to 
    # i are smaller after every iteration
    for j in range(low, high):
        if arr[j] < pivot:
            i += 1
            swap(arr, i, j)
    
    # Move pivot after smaller elements and
    # return its position
    swap(arr, i + 1, high)
    return i + 1

# Swap function
def swap(arr, i, j):
    arr[i], arr[j] = arr[j], arr[i]

# The QuickSort function implementation
def quickSort(arr, low, high):
    if low < high:
        
        # pi is the partition return index of pivot
        pi = partition(arr, low, high)
        
        # Recursion calls for smaller elements
        # and greater or equals elements
        quickSort(arr, low, pi - 1)
        quickSort(arr, pi + 1, high)

# Main driver code
if __name__ == ""__main__"":
    arr = [10, 7, 8, 9, 1, 5]
    n = len(arr)

    quickSort(arr, 0, n - 1)
    
    for val in arr:
        print(val, end="" "")"
QuickSort,Complexity Analysis of Quick Sort,"Time Complexity: Best Case:  (Ω(n log n)), Occurs when the pivot element divides the array into two equal halves. Average Case  (θ(n log n)), On average, the pivot divides the array into two parts, but not necessarily equal. Worst Case:  (O(n²)), Occurs when the smallest or largest element is always chosen as the pivot (e.g., sorted arrays). Auxiliary Space:  O(n),   due to   recursive call stack Please refer  Time and Space Complexity Analysis of Quick Sort  for more details.",
QuickSort,Advantages of Quick Sort,"It is a divide-and-conquer algorithm that makes it easier to solve problems.  It is efficient on large data sets.  It has a low overhead, as it only requires a small amount of memory to function.  It is Cache Friendly as we work on the same array to sort and do not copy data to any auxiliary array. Fastest general purpose algorithm for large data when stability is not required.  It is  tail recursive  and hence all the  tail call optimization  can be done.",
QuickSort,Disadvantages of Quick Sort,"It has a worst-case time complexity of O(n 2 ), which occurs when the pivot is chosen poorly.   It is not a good choice for small data sets.   It is not a stable sort, meaning that if two elements have the same key, their relative order will not be preserved in the sorted output in case of quick sort, because here we are swapping elements according to the pivot’s position (without considering their original positions).",
QuickSort,Applications of Quick Sort,"Efficient for sorting large datasets with O(n log n) average-case time complexity. Used in partitioning problems like finding the kth smallest element or dividing arrays by pivot. Integral to randomized algorithms, offering better performance than deterministic approaches. Applied in cryptography for generating random permutations and unpredictable encryption keys. Partitioning step can be parallelized for improved performance in multi-core or distributed systems. Important in theoretical computer science for analyzing average-case complexity and developing new techniques. Please refer  Application of Quicksort  for more details.",
Bubble Sort,How does Bubble Sort Work?,Below is the implementation of the bubble sort. It can be optimized by stopping the algorithm if the inner loop didn’t cause any swap.,"# Optimized Python program for implementation of Bubble Sort
def bubbleSort(arr):
    n = len(arr)
    
    # Traverse through all array elements
    for i in range(n):
        swapped = False

        # Last i elements are already in place
        for j in range(0, n-i-1):

            # Traverse the array from 0 to n-i-1
            # Swap if the element found is greater
            # than the next element
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
                swapped = True
        if (swapped == False):
            break

# Driver code to test above
if __name__ == ""__main__"":
    arr = [64, 34, 25, 12, 22, 11, 90]

    bubbleSort(arr)

    print(""Sorted array:"")
    for i in range(len(arr)):
        print(""%d"" % arr[i], end="" "")"
Bubble Sort,Complexity Analysis of Bubble Sort:,Time Complexity:  O(n 2 ) Auxiliary Space:  O(1) Please refer  Complexity Analysis of Bubble Sort  for details.,
Bubble Sort,Advantages of Bubble Sort:,"Bubble sort is easy to understand and implement. It does not require any additional memory space. It is a stable sorting algorithm, meaning that elements with the same key value maintain their relative order in the sorted output.",
Bubble Sort,Disadvantages of Bubble Sort:,Bubble sort has a time complexity of O(n 2 ) which makes it very slow for large data sets. Bubble sort has almost no or limited real world applications. It is mostly used in academics to teach different ways of sorting.,
Bucket Sort,Bucket Sort Algorithm:,Create  n  empty buckets (Or lists) and do the following for every array element arr[i]. Insert arr[i] into bucket[n*array[i]] Sort individual buckets using insertion sort. Concatenate all sorted buckets.,
